accommodatie_id;accommodatie naam;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;aantal voorzieningen;aantal indoor voorzieningen;aantal outdoor voorzieningen;aantal outdoor kunstgrasvelden;aantal outdoor natuurgrasvelden;aantal outdoor semi-watervelden;aantal outdoor watervelden;aantal sporthallen;aantal sportzalen;aantal gymzalen;sport
13831;Gymzaal Wevelaan;;138073;457490;Wevelaan 2-4;3571xs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13831;Gymzaal Wevelaan;;138073;457490;Wevelaan 2-4;3571xs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13831;Gymzaal Wevelaan;;138073;457490;Wevelaan 2-4;3571xs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13831;Gymzaal Wevelaan;;138073;457490;Wevelaan 2-4;3571xs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13832;OBS Jules Verne;1987;135107;457333;Opzoomerstraat 1;3551bp;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;badminton
13832;OBS Jules Verne;1987;135107;457333;Opzoomerstraat 1;3551bp;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13832;OBS Jules Verne;1987;135107;457333;Opzoomerstraat 1;3551bp;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13832;OBS Jules Verne;1987;135107;457333;Opzoomerstraat 1;3551bp;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13832;OBS Jules Verne;1987;135107;457333;Opzoomerstraat 1;3551bp;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13832;OBS Jules Verne;1987;135107;457333;Opzoomerstraat 1;3551bp;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13832;OBS Jules Verne;1987;135107;457333;Opzoomerstraat 1;3551bp;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13833;Lux;1973;134845;458268;Stauntonstraat 9;3554ez;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;badminton
13833;Lux;1973;134845;458268;Stauntonstraat 9;3554ez;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13833;Lux;1973;134845;458268;Stauntonstraat 9;3554ez;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13833;Lux;1973;134845;458268;Stauntonstraat 9;3554ez;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13833;Lux;1973;134845;458268;Stauntonstraat 9;3554ez;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13833;Lux;1973;134845;458268;Stauntonstraat 9;3554ez;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13833;Lux;1973;134845;458268;Stauntonstraat 9;3554ez;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13834;Gymzaal Sint-Willibrordusstraat;1984;134446;457970;Sint-Willibrordusstraat 45;3553sl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13834;Gymzaal Sint-Willibrordusstraat;1984;134446;457970;Sint-Willibrordusstraat 45;3553sl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13834;Gymzaal Sint-Willibrordusstraat;1984;134446;457970;Sint-Willibrordusstraat 45;3553sl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13834;Gymzaal Sint-Willibrordusstraat;1984;134446;457970;Sint-Willibrordusstraat 45;3553sl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
